air_force_blue_raf,"Blue",#5d8aa8,93,138,168
air_force_blue_usaf,"Blue",#00308f,0,48,143
air_superiority_blue,"Blue",#72a0c1,114,160,193
alabama_crimson,"Light maroon",#a32638,163,38,56
alice_blue,"Blue",#f0f8ff,240,248,255
alizarin_crimson,"Light maroon",#e32636,227,38,54
alloy_orange,"Orange",#c46210,196,98,16
almond,"Almond",#efdecd,239,222,205
amaranth,"Maroon",#e52b50,229,43,80
amber,"Amber yellow",#ffbf00,255,191,0
amber_sae_ece,"Amber yellow",#ff7e00,255,126,0
american_rose,"Rose",#ff033e,255,3,62
amethyst,"violet",#96c,153,102,204
android_green,"Light Green",#a4c639,164,198,57
anti_flash_white,"White",#f2f3f4,242,243,244
antique_brass,"Brass",#cd9575,205,149,117
antique_fuchsia,"pink",#915c83,145,92,131
antique_ruby,"Maroon",#841b2d,132,27,45
antique_white,"White",#faebd7,250,235,215
ao_english,"Green",#008000,0,128,0
apple_green,"Green",#8db600,141,182,0
apricot,"Peach",#fbceb1,251,206,177
aqua,"Cyan Blue",#0ff,0,255,255
aquamarine,"Cyan",#7fffd4,127,255,212
army_green,"Army Green",#4b5320,75,83,32
arsenic,"Grey",#3b444b,59,68,75
arylide_yellow,"Lemon Yellow",#e9d66b,233,214,107
ash_grey,"Grey",#b2beb5,178,190,181
asparagus,"Green",#87a96b,135,169,107
atomic_tangerine,"Peach",#f96,255,153,102
auburn,"Brown (Traditional)",#a52a2a,165,42,42
aureolin,"Lemon Yellow",#fdee00,253,238,0
aurometalsaurus,"Grey",#6e7f80,110,127,128
avocado,"Green",#568203,86,130,3
azure,"Cyan",#007fff,0,127,255
azure_mist_web,"Cyan",#f0ffff,240,255,255
baby_blue,"Cyan",#89cff0,137,207,240
baby_blue_eyes,"Cyan",#a1caf1,161,202,241
baby_pink,"Pink",#f4c2c2,244,194,194
ball_blue,"Blue",#21abcd,33,171,205
banana_mania,"Sandal",#fae7b5,250,231,181
banana_yellow,"Yellow",#ffe135,255,225,53
barn_red,"Red",#7c0a02,124,10,2
battleship_grey,"Grey",#848482,132,132,130
bazaar,"peach",#98777b,152,119,123
beau_blue,"Blue",#bcd4e6,188,212,230
beaver,"Brown",#9f8170,159,129,112
beige,"Peach",#f5f5dc,245,245,220
big_dip_o_ruby,"pink",#9c2542,156,37,66
bisque,"Peach",#ffe4c4,255,228,196
bistre,"Brown",#3d2b1f,61,43,31
bittersweet,"Peach",#fe6f5e,254,111,94
bittersweet_shimmer,"Peach",#bf4f51,191,79,81
black,"Black",#000,0,0,0
black_bean,"Black",#3d0c02,61,12,2
black_leather_jacket,"Black",#253529,37,53,41
black_olive,"Dark Green",#3b3c36,59,60,54
blanched_almond,"Skin",#ffebcd,255,235,205
blast_off_bronze,"Brown",#a57164,165,113,100
bleu_de_france,"Blue",#318ce7,49,140,231
blizzard_blue,"Blue",#ace5ee,172,229,238
blond,"Skin",#faf0be,250,240,190
blue,"Blue",#00f,0,0,255
blue_bell,"Blue",#a2a2d0,162,162,208
blue_crayola,"Blue",#1f75fe,31,117,254
blue_gray,"Blue Gray",#69c,102,153,204
blue_green,"Blue Green",#0d98ba,13,152,186
blue_munsell,"Blue",#0093af,0,147,175
blue_ncs,"Blue",#0087bd,0,135,189
blue_pigment,"Blue",#339,51,51,153
blue_ryb,"Blue",#0247fe,2,71,254
blue_sapphire,"Blue",#126180,18,97,128
blue_violet,"Blue Violet",#8a2be2,138,43,226
blush,"Peach",#de5d83,222,93,131
bole,"Brown",#79443b,121,68,59
bondi_blue,"Blue",#0095b6,0,149,182
bone,"White",#e3dac9,227,218,201
boston_university_red,"Red",#c00,204,0,0
bottle_green,"Dark Green",#006a4e,0,106,78
boysenberry,"Purple",#873260,135,50,96
brandeis_blue,"Blue",#0070ff,0,112,255
brass,"Brass",#b5a642,181,166,66
brick_red,"Red",#cb4154,203,65,84
bright_cerulean,"Cyan",#1dacd6,29,172,214
bright_green,"Bright Green",#6f0,102,255,0
bright_lavender,"Bright Lavender",#bf94e4,191,148,228
bright_maroon,"Bright Maroon",#c32148,195,33,72
bright_pink,"Bright Pink",#ff007f,255,0,127
bright_turquoise,"Bright Blue",#08e8de,8,232,222
bright_ube,"Lavenders",#d19fe8,209,159,232
brilliant_lavender,"Lavender",#f4bbff,244,187,255
brilliant_rose,"Rose",#ff55a3,255,85,163
brink_pink,"Pink",#fb607f,251,96,127
british_racing_green,"Dark Green",#004225,0,66,37
bronze,"Bronze",#cd7f32,205,127,50
brown_traditional,"Brown",#964b00,150,75,0
brown_web,"Brown",#a52a2a,165,42,42
bubble_gum,"Pink",#ffc1cc,255,193,204
bubbles,"Bubbles",#e7feff,231,254,255
buff,"Sandal",#f0dc82,240,220,130
bulgarian_rose,"Brown",#480607,72,6,7
burgundy,"Maroon",#800020,128,0,32
burlywood,"Skin",#deb887,222,184,135
burnt_orange,"Orange",#c50,204,85,0
burnt_sienna,"Peach",#e97451,233,116,81
burnt_umber,"Brown",#8a3324,138,51,36
byzantine,"Purple",#bd33a4,189,51,164
byzantium,"Purple",#702963,112,41,99
cadet,"Blue",#536872,83,104,114
cadet_blue,"Blue",#5f9ea0,95,158,160
cadet_grey,"Grey",#91a3b0,145,163,176
cadmium_green,"Green",#006b3c,0,107,60
cadmium_orange,"Orange",#ed872d,237,135,45
cadmium_red,"Red",#e30022,227,0,34
cadmium_yellow,"Yellow",#fff600,255,246,0
caf_au_lait,"Light Brown",#a67b5b,166,123,91
caf_noir,"Brown",#4b3621,75,54,33
